,URL,Text,Date,Author
0,https://1000wordphilosophy.wordpress.com/2014/02/13/aesthetics-vs-art/,,13 February 2014,Brock Rough
1,https://1000wordphilosophy.wordpress.com/2014/05/05/definitions-of-art/,,5 May 2014,Brock Rough
2,https://1000wordphilosophy.com/2019/09/08/the-african-ethic-of-ubuntu/,,8 September 2019,"Thaddeus Metz Categories: Ethics, Social and Political Philosophy, African Philosophy Word Count: 998 The word “ubuntu” is from some southern African languages and it literally means “human…"" />
 <meta property=""article:published_time"" content=""2019-09-08T20:23:16+00:00"" />
 <meta property=""article:modified_time"" content=""2020-06-27T17:08:32+00:00"" />
 <meta property=""og:site_name"" content=""1000-Word Philosophy: An Introductory Anthology"" />
 <meta property=""og:image"" content=""https://1000wordphilosophy.files.wordpress.com/2019/09/ubuntu.jpg"" />
 <meta property=""og:image:width"" content=""560"" />
 <meta property=""og:image:height"" content=""318"" />
 <meta property=""og:image:alt"" content=""Nelson Mandela on the concept of ubuntu."" />
 <meta property=""og:locale"" content=""en_US"" />
 <meta name=""twitter:site"" content=""@wordpressdotcom"" />
 <meta name=""twitter:text:title"" content=""The African Ethic of&nbsp;Ubuntu"" />
 <meta name=""twitter:image"" content=""https://1000wordphilosophy.files.wordpress.com/2019/09/ubuntu.jpg?w=640"" />
 <meta name=""twitter:image:alt"" content=""Nelson Mandela on the concept of ubuntu."" />
 <meta name=""twitter:card"" content=""summary_large_image"" />
 <meta property=""article:publisher"" content=""https://www.facebook.com/WordPresscom"" />
 
 <!-- End Jetpack Open Graph Tags -->
 <link rel='openid.server' href='https://1000wordphilosophy.com/?openidserver=1' />
 <link rel='openid.delegate' href='https://1000wordphilosophy.com/' />
 <link rel=""search"" type=""application/opensearchdescription+xml"" href=""https://1000wordphilosophy.com/osd.xml"" title=""1000-Word Philosophy: An Introductory Anthology"" />
 <link rel=""search"" type=""application/opensearchdescription+xml"" href=""https://s1.wp.com/opensearch.xml"" title=""WordPress.com"" />
 <meta name=""theme-color"" content=""#ffffff"" />
 <link rel=""pingback"" href=""https://1000wordphilosophy.com/xmlrpc.php"">		<style type=""text/css"">
 			.recentcomments a {
 				display: inline !important;
 				padding: 0 !important;
 				margin: 0 !important;
 			}
 
 			table.recentcommentsavatartop img.avatar, table.recentcommentsavatarend img.avatar {
 				border: 0px;
 				margin: 0;
 			}
 
 			table.recentcommentsavatartop a, table.recentcommentsavatarend a {
 				border: 0px !important;
 				background-color: transparent !important;
 			}
 
 			td.recentcommentsavatarend, td.recentcommentsavatartop {
 				padding: 0px 0px 1px 0px;
 				margin: 0px;
 			}
 
 			td.recentcommentstextend {
 				border: none !important;
 				padding: 0px 0px 2px 10px;
 			}
 
 			.rtl td.recentcommentstextend {
 				padding: 0px 10px 2px 0px;
 			}
 
 			td.recentcommentstexttop {
 				border: none;
 				padding: 0px 0px 0px 10px;
 			}
 
 			.rtl td.recentcommentstexttop {
 				padding: 0px 10px 0px 0px;
 			}
 		</style>
 		<meta name=""application-name"" content=""1000-Word Philosophy: An Introductory Anthology"" /><meta name=""msapplication-window"" content=""width=device-width;height=device-height"" /><meta name=""msapplication-tooltip"" content=""Philosophy, One Thousand Words at a Time"" /><meta name=""msapplication-task"" content=""name=Subscribe;action-uri=https://1000wordphilosophy.com/feed/;icon-uri=https://1000wordphilosophy.files.wordpress.com/2017/11/cropped-square.jpg?w=16"" /><meta name=""msapplication-task"" content=""name=Sign up for a free blog;action-uri=http://wordpress.com/signup/;icon-uri=https://s1.wp.com/i/favicon.ico"" /><meta name=""msapplication-task"" content=""name=WordPress.com Support;action-uri=http://support.wordpress.com/;icon-uri=https://s1.wp.com/i/favicon.ico"" /><meta name=""msapplication-task"" content=""name=WordPress.com Forums;action-uri=http://forums.wordpress.com/;icon-uri=https://s1.wp.com/i/favicon.ico"" /><meta name=""description"""
3,https://1000wordphilosophy.com/2018/06/01/dharma-in-abhidharma-buddhism/,,1 June 2018,No author
4,https://1000wordphilosophy.com/2018/04/10/mengzis-moral-psychology-part-1-the-four-moral-sprouts/,,10 April 2018,No author
5,https://1000wordphilosophy.com/2018/04/10/mengzis-moral-psychology-part-2-the-cultivation-analogy/,,10 April 2018,No author
6,https://1000wordphilosophy.com/2018/07/09/how-to-establish-social-order-three-early-chinese-answers/,,9 July 2018,"Henrique Schneider Categories: Chinese Philosophy, Historical Philosophy, Social and Political Philosophy, Ethics Word Count: 998 Way, Chaos, and Order are central to (early) Chinese philos…"" />
 <meta property=""article:published_time"" content=""2018-07-09T14:35:10+00:00"" />
 <meta property=""article:modified_time"" content=""2018-12-17T14:06:49+00:00"" />
 <meta property=""og:site_name"" content=""1000-Word Philosophy: An Introductory Anthology"" />
 <meta property=""og:image"" content=""https://1000wordphilosophy.files.wordpress.com/2018/07/impressive-battle-of-gaixia.jpg"" />
 <meta property=""og:image:width"" content=""1038"" />
 <meta property=""og:image:height"" content=""700"" />
 <meta property=""og:image:alt"" content=""The Impressive Battle of Gaixia: Chinese Reunification Emerges from Chaos"" />
 <meta property=""og:locale"" content=""en_US"" />
 <meta name=""twitter:site"" content=""@wordpressdotcom"" />
 <meta name=""twitter:text:title"" content=""How to Establish Social Order? Three Early Chinese&nbsp;Answers"" />
 <meta name=""twitter:image"" content=""https://1000wordphilosophy.files.wordpress.com/2018/07/impressive-battle-of-gaixia.jpg?w=640"" />
 <meta name=""twitter:image:alt"" content=""The Impressive Battle of Gaixia: Chinese Reunification Emerges from Chaos"" />
 <meta name=""twitter:card"" content=""summary_large_image"" />
 <meta property=""article:publisher"" content=""https://www.facebook.com/WordPresscom"" />
 
 <!-- End Jetpack Open Graph Tags -->
 <link rel='openid.server' href='https://1000wordphilosophy.com/?openidserver=1' />
 <link rel='openid.delegate' href='https://1000wordphilosophy.com/' />
 <link rel=""search"" type=""application/opensearchdescription+xml"" href=""https://1000wordphilosophy.com/osd.xml"" title=""1000-Word Philosophy: An Introductory Anthology"" />
 <link rel=""search"" type=""application/opensearchdescription+xml"" href=""https://s1.wp.com/opensearch.xml"" title=""WordPress.com"" />
 <meta name=""theme-color"" content=""#ffffff"" />
 <link rel=""pingback"" href=""https://1000wordphilosophy.com/xmlrpc.php"">		<style type=""text/css"">
 			.recentcomments a {
 				display: inline !important;
 				padding: 0 !important;
 				margin: 0 !important;
 			}
 
 			table.recentcommentsavatartop img.avatar, table.recentcommentsavatarend img.avatar {
 				border: 0px;
 				margin: 0;
 			}
 
 			table.recentcommentsavatartop a, table.recentcommentsavatarend a {
 				border: 0px !important;
 				background-color: transparent !important;
 			}
 
 			td.recentcommentsavatarend, td.recentcommentsavatartop {
 				padding: 0px 0px 1px 0px;
 				margin: 0px;
 			}
 
 			td.recentcommentstextend {
 				border: none !important;
 				padding: 0px 0px 2px 10px;
 			}
 
 			.rtl td.recentcommentstextend {
 				padding: 0px 10px 2px 0px;
 			}
 
 			td.recentcommentstexttop {
 				border: none;
 				padding: 0px 0px 0px 10px;
 			}
 
 			.rtl td.recentcommentstexttop {
 				padding: 0px 10px 0px 0px;
 			}
 		</style>
 		<meta name=""application-name"" content=""1000-Word Philosophy: An Introductory Anthology"" /><meta name=""msapplication-window"" content=""width=device-width;height=device-height"" /><meta name=""msapplication-tooltip"" content=""Philosophy, One Thousand Words at a Time"" /><meta name=""msapplication-task"" content=""name=Subscribe;action-uri=https://1000wordphilosophy.com/feed/;icon-uri=https://1000wordphilosophy.files.wordpress.com/2017/11/cropped-square.jpg?w=16"" /><meta name=""msapplication-task"" content=""name=Sign up for a free blog;action-uri=http://wordpress.com/signup/;icon-uri=https://s1.wp.com/i/favicon.ico"" /><meta name=""msapplication-task"" content=""name=WordPress.com Support;action-uri=http://support.wordpress.com/;icon-uri=https://s1.wp.com/i/favicon.ico"" /><meta name=""msapplication-task"" content=""name=WordPress.com Forums;action-uri=http://forums.wordpress.com/;icon-uri=https://s1.wp.com/i/favicon.ico"" /><meta name=""description"""
7,https://1000wordphilosophy.com/2019/06/03/wu-wei-acting-without-desire/,,3 June 2019,"Henrique Schneider Categories: Chinese Philosophy, Historical Philosophy Word Count: 997 Wu-wei (無爲, wúwéi) is a central concept in early Chinese philosophy. However, different schools of t…"" />
 <meta property=""article:published_time"" content=""2019-06-03T17:14:25+00:00"" />
 <meta property=""article:modified_time"" content=""2019-07-30T11:56:01+00:00"" />
 <meta property=""og:site_name"" content=""1000-Word Philosophy: An Introductory Anthology"" />
 <meta property=""og:image"" content=""https://1000wordphilosophy.files.wordpress.com/2019/06/ding.jpg"" />
 <meta property=""og:image:width"" content=""640"" />
 <meta property=""og:image:height"" content=""338"" />
 <meta property=""og:image:alt"" content=""Cook Ding Cuts Up an Ox"" />
 <meta property=""og:locale"" content=""en_US"" />
 <meta name=""twitter:site"" content=""@wordpressdotcom"" />
 <meta name=""twitter:text:title"" content=""Wu-Wei: Acting without&nbsp;Desire"" />
 <meta name=""twitter:image"" content=""https://1000wordphilosophy.files.wordpress.com/2019/06/ding.jpg?w=640"" />
 <meta name=""twitter:image:alt"" content=""Cook Ding Cuts Up an Ox"" />
 <meta name=""twitter:card"" content=""summary_large_image"" />
 <meta property=""article:publisher"" content=""https://www.facebook.com/WordPresscom"" />
 
 <!-- End Jetpack Open Graph Tags -->
 <link rel='openid.server' href='https://1000wordphilosophy.com/?openidserver=1' />
 <link rel='openid.delegate' href='https://1000wordphilosophy.com/' />
 <link rel=""search"" type=""application/opensearchdescription+xml"" href=""https://1000wordphilosophy.com/osd.xml"" title=""1000-Word Philosophy: An Introductory Anthology"" />
 <link rel=""search"" type=""application/opensearchdescription+xml"" href=""https://s1.wp.com/opensearch.xml"" title=""WordPress.com"" />
 <meta name=""theme-color"" content=""#ffffff"" />
 <link rel=""pingback"" href=""https://1000wordphilosophy.com/xmlrpc.php"">		<style type=""text/css"">
 			.recentcomments a {
 				display: inline !important;
 				padding: 0 !important;
 				margin: 0 !important;
 			}
 
 			table.recentcommentsavatartop img.avatar, table.recentcommentsavatarend img.avatar {
 				border: 0px;
 				margin: 0;
 			}
 
 			table.recentcommentsavatartop a, table.recentcommentsavatarend a {
 				border: 0px !important;
 				background-color: transparent !important;
 			}
 
 			td.recentcommentsavatarend, td.recentcommentsavatartop {
 				padding: 0px 0px 1px 0px;
 				margin: 0px;
 			}
 
 			td.recentcommentstextend {
 				border: none !important;
 				padding: 0px 0px 2px 10px;
 			}
 
 			.rtl td.recentcommentstextend {
 				padding: 0px 10px 2px 0px;
 			}
 
 			td.recentcommentstexttop {
 				border: none;
 				padding: 0px 0px 0px 10px;
 			}
 
 			.rtl td.recentcommentstexttop {
 				padding: 0px 10px 0px 0px;
 			}
 		</style>
 		<meta name=""application-name"" content=""1000-Word Philosophy: An Introductory Anthology"" /><meta name=""msapplication-window"" content=""width=device-width;height=device-height"" /><meta name=""msapplication-tooltip"" content=""Philosophy, One Thousand Words at a Time"" /><meta name=""msapplication-task"" content=""name=Subscribe;action-uri=https://1000wordphilosophy.com/feed/;icon-uri=https://1000wordphilosophy.files.wordpress.com/2017/11/cropped-square.jpg?w=16"" /><meta name=""msapplication-task"" content=""name=Sign up for a free blog;action-uri=http://wordpress.com/signup/;icon-uri=https://s1.wp.com/i/favicon.ico"" /><meta name=""msapplication-task"" content=""name=WordPress.com Support;action-uri=http://support.wordpress.com/;icon-uri=https://s1.wp.com/i/favicon.ico"" /><meta name=""msapplication-task"" content=""name=WordPress.com Forums;action-uri=http://forums.wordpress.com/;icon-uri=https://s1.wp.com/i/favicon.ico"" /><meta name=""description"""
8,https://1000wordphilosophy.com/2021/05/08/happiness/,"Skip to content![1000 WordPhilosophy](https://1000wordphilosophy.files.wordpress.com/2019/01/cropped-1000-word-philosophy-logo-with-subtitle-1-Cleaned-Up.jpg)1000 Word Philosophy: An Introductory Anthology Philosophy, One Thousand Words at a Time Menu   About   Newest Essays   Teaching   All Essays   Submissions Happiness: What is it to be Happy 8 May 202112 July 2021 ~ 1000 Word Philosophy: An Introductory Anthology Author: Kiki Berk  Category: Ethics, Phenomenology and Existentialism  Words: 992  Do you want to be happy If you're like most people, then yes, you do.But what is happiness What does it mean to be “happy”?[1]This essay discusses four major philosophical theories of happiness.[2]![""Mr. Happy"" on the beach.](https://1000wordphilosophy.files.wordpress.com/2021/05/happiness.jpg?w=656&h=492)""Mr. Happy"" on the beach. 1. Hedonism According to hedonism, happiness is simply the experience of pleasure.[3] A happy person has a lot more pleasure than displeasure (pain) in her life. To be happy, then, is just to feel good. In other words, there's no difference between being happy and feeling happy.Famous hedonists include the ancient Greek philosopher Epicurus and the modern English philosophers Jeremy Bentham and John Stuart Mill.[4] These philosophers all took happiness to include intellectual pleasures (such as reading a book) in addition to physical pleasures (such as having sex).Although we associate being happy with feeling good, many philosophers think that hedonism is mistaken.First, it's possible to be happy without feeling good (such as when a happy person has a toothache), and it's also possible to feel good without being happy (such as when an unhappy person gets a massage). Since happiness and pleasure can come apart, they can't be the same thing.Second, happiness and pleasure seem to have different properties. Pleasures are often fleeting, simple, and superficial (think of the pleasure involved in eating ice cream), whereas happiness is supposed to be lasting, complex, and profound. Things with different properties can't be identical, so happinesscan't be the same thing as pleasure.These arguments suggest that happiness and pleasure aren't identical. That being said, it's hard to imagine a happy person who never feels good. So,perhaps happiness involves pleasure without being identical to it. 2. Virtue Theory According to virtue theory, happiness is the result of cultivating the virtues both moral and intellectual such as wisdom, courage, temperance, and patience. A happy person must be sufficiently virtuous. To be happy, then, is to cultivate excellence and to flourish as a result. This view is famously held by Plato, Aris totle, and the Stoics.[5]Linking happiness to virtue has the advantage of treating happiness as a lasting, complex, and profound phenomenon. It also explains how happiness and pleasure can come apart, since a person can be virtuous without feeling good,and a person can feel good without being virtuous.In spite of these advantages, however, virtue theory is questionable. An important part of being virtuous is being morally good. But are immoral people always unhappy Arguably not. Many bad people seem happy in spite of or even because of their unsavory actions. And a similar point can be made about intellectual virtue: unwise or irrational people aren't always unhappy,either. In fact, some of these people seem happy as a direct result of their intellectual deficiencies. Ignorance is bliss,” the saying goes!But virtue theorists have a response here. Maybe some immoral people seem happy, on the surface; but that doesn't mean that they are truly happy, at some deeper level. And the same thing can be said about people who lack the intellectual virtues: ignorance may lead to bliss, but that bliss isn't true happiness. So, there seems to be some room for debate on these issues. 3. Desire Satisfaction Theory According to the desire satisfaction theory, happiness consists in getting what you want whatever that happens to be. A happy person has many of her desires satisfied; and the more her desires are satisfied, the happier she is.Even though getting what you want can be a source of happiness, identifying happiness with desire satisfaction is problematic.To start, this implies that the only way to become happier is by satisfying a desire. This seems wrong. Sometimes our happiness is increased by getting something we didn't previously want such as a surprise birthday party or getting stuck taking care of a neighbor's cat. This implies that desire satisfaction is not necessary for happiness.Desire satisfaction is not always sufficient for happiness, either.Unfortunately, it is common for people to feel disappointed when they get what they want. Many accomplishments, such as earning a degree or winning a tournament, simply don't bring the long lasting happiness that we expect.[6]So, even if getting what we want sometimes makes us happy, these counterexamples suggest that happiness does not consist in desire satisfaction.[7] 4. Life Satisfaction Theory According to the life satisfaction theory, happiness consists in being satisfied with your life. A happy person has a positive impression of her life in general, even though she might not be happy about every single aspect of it. To be happy, then, means to be content with your life as a whole.It's controversial whether life satisfaction is affective (a feeling) or cognitive (a belief). On the one hand, life satisfaction certainly comes with positive feelings. On the other hand, it's possible to step back, reflect on your life, and realize that it's good, even when you're feeling down.[8]One problem for this theory is that it's difficult for people to distinguish how they feel in the moment from how they feel about their lives overall.Studies have shown that people report feeling more satisfied with their lives when the weather is good, even though this shouldn't make that much of a difference. But measuring life satisfaction is complicated, so perhaps such studies should be taken with a grain of salt.[9] 5. Conclusion Understanding what happiness is should enable you to become happier.First, decide which theory of happiness you think is true, based on thearguments.Second, pursue whatever happiness is according to that theory: seek pleasure and try to avoid pain (hedonism), cultivate moral and intellectual virtue(virtue theory), decide what you really want and do your best to get it(desire satisfaction theory), or change your life (or your attitude about it)so you feel (or believe) that it's going well (life satisfaction theory).And if you're not sure which theory of happiness is true, then you could always try pursuing all of these things. 😊",8 May 2021,Kiki Berk
9,https://1000wordphilosophy.com/2014/05/01/the-badness-of-death/,,1 May 2014,Duncan Purves
